"word1","word2","freq"
"itâ","s",541
"donâ","t",332
"iâ","m",324
"right","now",202
"iâ","ve",195
"new","york",189
"didnâ","t",182
"last","year",182
"year","old",175
"thatâ","s",157
"said","â",130
"first","time",119
"doesnâ","t",118
"years","ago",118
"high","school",116
"canâ","t",113
"last","week",112
"heâ","s",109
"youâ","re",104
"st","louis",103
"dont","know",98
"make","sure",96
"feel","like",95
"cant","wait",94
"even","though",90
"last","night",89
"thereâ","s",87
"â","â",85
"can","get",85
"two","years",83
"new","jersey",82
"isnâ","t",78
"one","day",77
"weâ","re",76
"im","going",75
"iâ","ll",74
"next","week",74
"united","states",74
"looking","forward",73
"wasnâ","t",70
"can","see",68
"los","angeles",67
"will","take",67
"theyâ","re",66
"im","sure",65
"looks","like",65
"t","know",65
"one","thing",62
"next","year",60
"dont","want",59
"san","francisco",59
"just","like",57
"let","know",57
"every","time",56
"just","got",56
"youâ","ve",56
"look","like",55
"dont","think",54
"many","people",53
"wonâ","t",53
"â","itâ",52
"whatâ","s",51
"every","day",50
"iâ","d",50
"little","bit",50
"long","time",49
"s","just",48
"sheâ","s",48
"three","years",48
"can","make",46
"come","back",46
"last","month",46
"letâ","s",46
"â","iâ",45
"â","just",44
"couldnâ","t",44
"go","back",44
"two","weeks",42
"will","never",42
"sounds","like",41
"weâ","ve",41
"san","diego",40
"vice","president",40
"t","want",39
"youâ","ll",39
"five","years",38
"just","one",38
"pretty","much",38
"social","media",38
"will","get",38
"can","help",37
"get","back",37
"godâ","s",37
"good","morning",37
"like","â",37
"will","also",37
"dont","like",36
"good","thing",36
"happy","birthday",36
"many","years",36
"mothers","day",36
"real","estate",36
"s","going",36
"arenâ","t",35
"dont","get",35
"four","years",35
"health","care",35
"havenâ","t",34
"something","like",34
"follow","back",33
"ice","cream",33
"officials","said",33
"first","round",32
"good","luck",32
"great","day",32
"m","sure",32
"many","times",32
"need","get",32
"really","good",32
"will","come",32
"will","make",32
"years","old",32
"long","term",31
"now","im",31
"one","time",31
"s","â",31
"t","get",31
"wall","street",31
"weâ","ll",31
"will","able",31
"world","war",31
"wouldnâ","t",31
"can","also",30
"can","go",30
"im","just",30
"last","season",30
"looked","like",30
"one","two",30
"police","said",30
"th","century",30
"things","like",30
"will","go",30
"anyone","else",29
"dont","need",29
"ðÿ","ðÿ",29
"everyone","else",29
"know","will",29
"last","time",29
"law","enforcement",29
"much","better",29
"much","fun",29
"north","carolina",29
"say","â",29
"t","even",29
"will","help",29
"can","still",28
"can","tell",28
"can","use",28
"didnt","want",28
"e","mail",28
"general","manager",28
"hereâ","s",28
"ohio","state",28
"regular","season",28
"said","statement",28
"also","said",27
"let","go",27
"lot","people",27
"months","ago",27
"will","see",27
"â","can",26
"â","one",26
"best","friend",26
"brand","new",26
"can","say",26
"can","take",26
"didnt","know",26
"friday","night",26
"getting","ready",26
"new","year",26
"said","will",26
"seems","like",26
"several","times",26
"t","think",26
"years","later",26
"back","home",25
"economic","development",25
"every","single",25
"ive","ever",25
"ive","got",25
"kansas","city",25
"last","years",25
"next","time",25
"now","can",25
"one","point",25
"s","s",25
"second","half",25
"spend","time",25
"th","street",25
"thanks","follow",25
"three","times",25
"weeks","ago",25
"will","continue",25
"ive","seen",24
"last","two",24
"least","one",24
"olive","oil",24
"police","department",24
"saturday","night",24
"says","â",24
"think","will",24
"want","make",24
"year","ago",24
"around","world",23
"can","find",23
"can","just",23
"chief","executive",23
"federal","government",23
"felt","like",23
"first","place",23
"good","news",23
"just","get",23
"just","want",23
"one","best",23
"one","year",23
"super","bowl",23
"take","place",23
"trying","get",23
"ve","got",23
"wait","see",23
"want","go",23
"white","house",23
"â","donâ",22
"across","country",22
"couple","years",22
"feels","like",22
"first","day",22
"first","year",22
"jersey","city",22
"join","us",22
"just","need",22
"let","us",22
"lets","go",22
"marker","upgrades",22
"paintball","marker",22
"really","like",22
"several","years",22
"take","care",22
"time","since",22
"todayâ","s",22
"youve","got",22
"â","will",21
"cuyahoga","county",21
"doesnt","mean",21
"dont","even",21
"earlier","year",21
"every","year",21
"family","members",21
"five","year",21
"good","idea",21
"hadnâ","t",21
"hard","work",21
"im","sorry",21
"ive","never",21
"las","vegas",21
"living","room",21
"look","forward",21
"people","will",21
"said","one",21
"supreme","court",21
"take","time",21
"think","can",21
"time","time",21
"will","always",21
"will","need",21
"youre","going",21
"â","s",20
"anything","else",20
"called","â",20
"city","council",20
"ever","seen",20
"going","get",20
"im","glad",20
"love","much",20
"men","women",20
"one","can",20
"people","can",20
"put","together",20
"s","day",20
"s","like",20
"said","hes",20
"school","district",20
"seven","years",20
"six","months",20
"south","carolina",20
"tell","us",20
"time","get",20
"want","see",20
"â","said",19
"barack","obama",19
"big","deal",19
"bin","laden",19
"cant","believe",19
"coming","back",19
"family","friends",19
"first","thing",19
"first","two",19
"heâ","d",19
"im","gonna",19
"just","dont",19
"just","say",19
"m","going",19
"mental","health",19
"never","know",19
"now","iâ",19
"one","another",19
"one","will",19
"parking","lot",19
"please","follow",19
"pretty","good",19
"s","good",19
"said","im",19
"salt","pepper",19
"shouldnâ","t",19
"stay","tuned",19
"three","months",19
"today","will",19
"will","find",19
"â","youâ",18
"able","get",18
"along","way",18
"associated","press",18
"bad","news",18
"cant","get",18
"city","officials",18
"day","day",18
"didnt","get",18
"dont","feel",18
"dont","really",18
