"word1","word2","word3","word4","freq"
"conway","south","carolina","florists",13
"â","â","â","â",11
"edi","â","hotop","run",8
"per","serving","calories","g",8
"protein","g","carbohydrate","g",8
"g","protein","g","carbohydrate",7
"said","â","itâ","s",7
"â","hotop","run","lawson",6
"calories","g","protein","g",6
"diet","g","basal","diet",6
"g","g","saturated","mg",6
"g","saturated","mg","cholesterol",6
"kick","edi","â","hotop",6
"president","george","w","bush",6
"best","best","best","best",5
"carbohydrate","g","g","saturated",5
"cholesterol","mg","sodium","g",5
"forget","heâ","s","just",5
"g","carbohydrate","g","g",5
"happy","new","year","everyone",5
"heâ","s","just","pig",5
"mg","cholesterol","mg","sodium",5
"mg","sodium","g","fiber",5
"new","york","new","jersey",5
"petre","kick","kd","â",5
"post","traumatic","stress","disorder",5
"saturated","mg","cholesterol","mg",5
"serving","calories","g","protein",5
"ä","á¹","matis","tä",4
"â","everhart","run","kick",4
"â","iâ","m","going",4
"á¹","matis","tä","vad",4
"case","western","reserve","university",4
"catalyzes","substrate","product","conversion",4
"dont","think","ive","ever",4
"edi","â","everhart","run",4
"everhart","run","kick","edi",4
"hotop","run","lawson","kick",4
"iâ","m","pretty","sure",4
"incorporated","item","c","pp",4
"jumped","george","washington","bridge",4
"lawson","kick","edi","â",4
"martin","luther","king","jr",4
"naiá¹","ä","á¹","matis",4
"new","york","san","francisco",4
"paintball","marker","upgrades","paintball",4
"paseo","de","la","princesa",4
"polypeptide","catalyzes","substrate","product",4
"run","kick","edi","â",4
"run","kick","ppcc","â",4
"run","lawson","kick","edi",4
"run","petre","kick","kd",4
"something","interesting","something","interesting",4
"vice","president","joe","biden",4
"â","iâ","m","sure",3
"â","isâ","subject","change",3
"â","qualities","picked","father",3
"â","sted","e","hybrid",3
"â","time","next","year",3
"according","report","issued","last",3
"acid","buildup","allow","straighten",3
"advertising","fees","advertising","linking",3
"advertising","linking","amazoncom","amazonca",3
"age","weighing","pounds","summer",3
"agreed","put","referendum","hamlet",3
"agreement","one","two","remaining",3
"aka","pac","shakur","least",3
"allow","straighten","arms","three",3
"always","hopefully","say","always",3
"always","thought","much","survived",3
"always","will","people","rise",3
"amazing","comeback","brown","rewarded",3
"amazon","eu","associates","programmes",3
"amazon","eu","content","provided",3
"amazon","services","llc","amazon",3
"amazon","services","llc","andor",3
"amazonca","amazoncouk","amazonde","amazonfr",3
"amazoncom","amazonca","amazoncouk","amazonde",3
"amazoncouk","amazonde","amazonfr","amazonit",3
"amazonde","amazonfr","amazonit","amazones",3
"amazones","certain","content","appears",3
"amazonfr","amazonit","amazones","certain",3
"amazonit","amazones","certain","content",3
"america","always","hopefully","say",3
"andor","amazon","eu","content",3
"andreini","spokesman","san","francisco",3
"animated","history","dramatic","centerpiece",3
"appears","website","comes","amazon",3
"approved","idea","march","ignited",3
"arrested","las","vegas","shakur",3
"arrested","minor","traffic","violations",3
"arrested","sunday","may","tupac",3
"associates","programmes","designed","provide",3
"attraction","field","station","dinosaurs",3
"avenue","near","magenta","street",3
"badly","gashed","elbow","police",3
"baking","sheet","lined","parchment",3
"bans","exempt","casinos","cigar",3
"bar","exaggeration","say","lactic",3
"bars","private","clubs","dont",3
"based","contribute","society","marketplace",3
"better","example","just","help",3
"billion","worth","construction","way",3
"bit","animated","history","dramatic",3
"block","page","boulevard","st",3
"box","pinned","year","old",3
"bracket","defeated","festus","saturday",3
"brodeur","wanted","make","doctors",3
"brown","rewarded","two","performances",3
"buildup","allow","straighten","arms",3
"business","mogul","suge","knight",3
"cake","boss","buddy","valastro",3
"call","nearly","million","sales",3
"called","meeting","pm","tonight",3
"calories","grams","protein","grams",3
"came","losers","bracket","defeated",3
"can","reach","agreement","one",3
"can","stop","reading","now",3
"canâ","t","tell","many",3
"cases","many","immigrants","record",3
"casinos","cigar","bars","private",3
"castana","street","lincoln","park",3
"certain","content","appears","website",3
"championship","showdown","festus","advances",3
"charities","post","information","programs",3
"charm","â","qualities","picked",3
