"word1","freq"
"â",3882
"said",2937
"will",2819
"s",2770
"one",2618
"just",2298
"like",2095
"can",2050
"time",1860
"get",1740
"new",1600
"now",1378
"people",1366
"also",1313
"day",1311
"first",1270
"good",1266
"year",1263
"im",1249
"t",1242
"know",1181
"two",1172
"back",1130
"us",1129
"see",1111
"make",1099
"love",1070
"go",1034
"well",1021
"last",1020
"going",1016
"think",1000
"much",998
"even",966
"years",964
"way",925
"dont",910
"really",908
"work",896
"want",850
"great",839
"many",830
"right",830
"still",823
"got",793
"little",761
"need",760
"say",741
"made",736
"take",735
"home",716
"today",716
"may",713
"life",697
"state",686
"things",680
"something",668
"never",660
"come",659
"iâ",644
"next",642
"week",637
"three",630
"around",628
"best",601
"itâ",589
"night",577
"school",574
"since",574
"long",572
"always",569
"another",560
"city",556
"every",551
"old",550
"world",546
"look",532
"game",529
"big",525
"use",512
"thats",507
"show",496
"says",492
"part",489
"thanks",482
"thing",478
"high",471
"sure",471
"better",467
"put",465
"lot",460
"place",460
"house",458
"family",456
"cant",455
"help",455
"man",453
"book",452
"might",452
"feel",450
"end",444
"getting",444
"find",440
"ive",426
"though",422
"times",421
"didnt",417
"season",416
"left",415
"used",409
"found",407
"pm",407
"m",402
"thought",402
"days",401
"team",400
"away",399
"ever",398
"told",398
"million",393
"play",393
"start",389
"keep",385
"without",385
"went",384
"free",383
"th",382
"give",381
"hope",379
"let",374
"point",374
"percent",371
"came",367
"money",365
"public",365
"read",362
"top",362
"enough",361
"police",358
"rt",358
"happy",357
"hard",356
"run",356
"four",351
"re",350
"second",350
"story",350
"friends",349
"making",343
"d",341
"children",340
"done",338
"donâ",336
"someone",336
"st",332
"must",330
"took",330
"u",330
"called",329
"pretty",328
"least",326
"different",324
"county",323
"set",321
"looking",320
"real",320
"working",318
"far",317
"tell",317
"actually",316
"lol",316
"ve",316
"kids",314
"room",314
"white",313
"try",312
"youre",312
"post",310
"everyone",308
"live",308
"started",307
"later",305
"bad",304
"bit",304
"follow",304
"less",300
"past",300
"fun",298
"open",298
"able",297
"call",297
"including",297
"business",295
"course",295
"head",295
"company",294
"wanted",294
"water",294
"small",293
"trying",293
"already",292
"job",292
"yet",292
"ill",288
"morning",288
"music",288
"together",288
"young",287
"along",285
"anything",285
"please",285
"case",284
"kind",284
"food",283
"coming",282
"oh",282
"group",281
"ago",280
"center",280
"using",280
"believe",279
"change",279
"month",279
"everything",277
"hes",277
"name",277
"side",277
"five",276
"minutes",276
"according",274
"however",272
"maybe",272
"president",271
"makes",270
"news",270
"full",269
"yes",267
"blog",266
"heart",265
"several",265
"thank",264
"games",263
"seen",261
"tonight",260
"almost",259
"early",259
"often",259
"doesnt",258
"local",257
"nice",255
"win",254
"comes",253
"nothing",253
"support",253
"half",252
"number",252
"hours",250
"months",250
"person",249
"law",248
"street",248
"friday",247
"pay",247
"asked",245
"fact",245
"stop",245
"weekend",245
"youâ",244
"care",243
"line",242
"saw",241
"cut",240
"women",240
"wait",238
"others",235
"system",235
"states",234
"check",233
"hit",233
"idea",233
"lost",233
"weeks",232
"party",231
"community",230
"government",229
"playing",229
"plan",228
"add",226
"anyone",226
"face",226
"power",226
"six",226
"writing",225
"friend",224
"mind",224
"become",223
"information",223
"members",222
"soon",222
"office",221
"probably",221
"close",219
"instead",219
"remember",219
"talk",219
"park",218
"road",218
"taking",218
"health",217
"country",216
"ready",216
"theres",216
"couple",215
"running",215
"mother",214
"short",213
"books",212
"deal",212
"former",211
"car",209
"quite",209
"saturday",209
"service",209
"university",209
"national",208
"series",208
"south",208
"whole",208
"program",207
"stay",207
"else",206
"given",206
"felt",205
"hand",205
"men",205
"court",204
"experience",204
"forward",204
"guys",204
"word",204
"area",203
"red",203
"following",202
"girl",202
"students",202
"either",201
"movie",201
"seems",201
"sunday",201
"across",200
"favorite",200
"list",199
"third",199
"gave",198
"knew",198
"war",198
"class",197
"history",197
"special",197
"york",197
"based",196
"finally",196
"share",196
"move",195
"rest",194
"saying",194
"buy",192
"college",192
"easy",192
"reading",192
"rather",191
"board",190
"monday",190
"tax",190
"wish",190
"beautiful",189
"bring",189
"hear",189
"whether",189
"known",188
"meeting",188
"ask",187
"decided",187
"sometimes",187
"ll",186
"sweet",186
"added",185
"body",185
"important",185
"mean",185
"needs",185
"order",185
"summer",185
"parents",184
"words",184
"didnâ",183
"means",183
"twitter",183
"amazing",182
"large",182
"question",182
"child",181
"light",181
"federal",180
"green",180
"wasnt",180
"among",179
"behind",179
"front",179
"john",179
"leave",179
"officials",179
"april",178
"possible",178
"beer",177
"late",177
"process",177
"thinking",177
"art",176
"bill",176
"true",176
"looks",175
"future",174
"market",174
"thatâ",174
"watch",174
"final",173
"hey",173
"problem",173
"town",173
"level",172
"near",172
"baby",171
"building",171
"cool",171
"matter",171
"phone",171
"project",171
"turn",171
"available",170
"energy",170
"single",170
"although",169
"huge",169
"miss",169
"shot",169
"enjoy",168
"north",168
"tuesday",167
"woman",167
"department",166
"social",166
"tomorrow",166
"turned",166
"weâ",166
"card",165
"gone",165
"guy",165
"isnt",165
"lead",165
"outside",165
"political",165
"san",165
"song",165
"id",164
"moment",164
"director",163
"field",163
"film",163
"thursday",163
"especially",162
"event",162
"living",162
"ones",162
"reason",162
"report",162
"schools",162
"feeling",161
"lives",161
"mr",161
"starting",161
"store",161
"e",160
"inside",160
"lets",160
"per",160
"stuff",160
"cost",159
"needed",159
"spring",159
"whats",159
"wrong",159
"birthday",158
"coach",158
"companies",158
"gets",158
"online",158
"tried",158
"father",157
"hour",157
"march",157
"played",157
"awesome",156
"district",156
"hot",155
"obama",155
"points",154
"self",154
"wednesday",154
"chance",153
"drive",153
"watching",153
"happened",152
"held",152
"issue",152
"looked",152
"mom",152
"general",151
"record",151
"simply",151
"star",151
"earlier",150
"fall",150
"goes",150
"heard",150
"site",150
"taken",150
"talking",150
"worth",150
"low",149
"perfect",149
"recently",149
"wont",149
"meet",148
"clear",147
"media",147
"oil",147
"worked",147
"age",146
"jobs",146
"round",146
"visit",146
"washington",146
"air",144
"interesting",144
"issues",144
"west",144
"theyre",143
"won",143
"include",142
"learn",142
"major",142
"pick",142
"takes",142
"co",141
"excited",141
"feet",141
"human",141
"perhaps",141
"spent",141
"wonderful",141
"write",141
"bar",140
"blue",140
"son",140
"challenge",139
"example",139
"loved",139
"ohio",139
"space",139
"within",139
"began",138
"control",138
"daughter",138
"door",138
"price",138
"return",138
"stand",138
"usually",138
"guess",137
"heâ",137
"led",137
"questions",137
"sense",137
"sleep",137
"became",136
"walk",136
"ways",136
"works",136
"action",135
"lots",135
"middle",135
"players",135
"video",135
"wrote",135
"christmas",134
"nearly",134
"player",134
"yeah",134
"career",133
"dinner",133
"eyes",133
"happen",133
"member",133
"offer",133
"picture",133
"recent",133
"brought",132
"david",132
"likely",132
"table",132
"education",131
"ok",131
"race",131
"simple",131
"haha",130
"hands",130
"paper",130
"sorry",130
"style",130
"super",130
"tv",130
"wants",130
"design",129
"cleveland",128
"despite",128
"finished",128
"sports",128
"b",127
"boy",127
"create",127
"hair",127
"non",127
"sales",126
"seem",126
"send",126
"services",126
"step",126
"strong",126
"website",126
"wife",126
"break",125
"understand",125
"california",124
"club",124
"definitely",124
"eat",124
"fans",124
"cause",123
"hold",123
"interest",123
"n",123
"personal",123
"research",123
"term",123
"written",123
"brown",122
"campaign",122
"goal",122
"hate",122
"havent",122
"alone",121
"east",121
"met",121
"plans",121
"private",121
"sound",121
"box",120
"budget",120
"certain",120
"difficult",120
"piece",120
"problems",120
"provide",120
"rock",120
"w",120
"whatever",120
"cover",119
"moving",119
"busy",118
"doesnâ",118
"fast",118
"james",118
"jersey",118
"received",118
"bank",117
"bed",117
"canâ",117
"changes",117
"couldnt",117
"development",117
"dr",117
"eight",117
"shes",117
"beginning",116
"complete",116
"expected",116
"extra",116
"focus",116
"husband",116
"league",116
"stories",116
"whose",116
"ball",115
"decision",115
"deep",115
"double",115
"fine",115
"g",115
"longer",115
"medical",115
"products",115
"seeing",115
"teams",115
"act",114
"answer",114
"conference",114
"entire",114
"june",114
"louis",114
"security",114
"sent",114
"shows",114
"training",114
"waiting",114
"america",113
"bowl",113
"chief",113
"continue",113
"financial",113
"fresh",113
"gift",113
"gonna",113
"mark",113
"total",113
"wine",113
"band",112
"begin",112
"chicago",112
"current",112
"exactly",112
"seven",112
"yesterday",112
"glad",111
"la",111
"page",111
"pass",111
"trip",111
"allowed",110
"boys",110
"football",110
"knows",110
"pain",110
"release",110
"seemed",110
"texas",110
"united",110
"crazy",109
"data",109
"hospital",109
"lord",109
"role",109
"spend",109
"statement",109
"c",108
"due",108
"force",108
"opportunity",108
"passed",108
"save",108
"title",108
"type",108
"characters",107
"common",107
"council",107
"learning",107
"lower",107
"ground",106
"note",106
"beyond",105
"blood",105
"chicken",105
"daily",105
"giving",105
"higher",105
"learned",105
"michael",105
"paid",105
"regular",105
"shop",105
"voice",105
"welcome",105
"cases",104
"changed",104
"ðÿ",104
"judge",104
"kept",104
"key",104
"projects",104
"staff",104
"workers",104
"figure",103
"released",103
"sad",103
"student",103
"build",102
"cup",102
"dark",102
"dog",102
"ice",102
"lose",102
"runs",102
"serious",102
"success",102
"theyâ",102
"track",102
"trust",102
"view",102
"billion",101
"born",101
"bought",101
"certainly",101
"email",101
"foot",101
"heat",101
"reported",101
"similar",101
"wall",101
"amount",100
"form",100
"helped",100
"interview",100
"press",100
"wouldnt",100
"anyway",99
"average",99
"beach",99
"bottom",99
"character",99
"funny",99
"moved",99
"paul",99
"plus",99
"ran",99
"safe",99
"situation",99
"sounds",99
"arent",98
"cold",98
"date",98
"eating",98
"main",98
"quickly",98
"results",98
"seriously",98
"sign",98
"chris",97
"coffee",97
"gives",97
"leaving",97
"officers",97
"photo",97
"safety",97
"speak",97
"taste",97
"upon",97
"weather",97
"completely",96
"credit",96
"drink",96
"filled",96
"ideas",96
"nine",96
"pictures",96
"thereâ",96
"tough",96
"allow",95
"fair",95
"miles",95
"places",95
"popular",95
"river",95
"sort",95
"straight",95
"sugar",95
"throughout",95
"truly",95
"agency",94
"economic",94
"economy",94
"expect",94
"letter",94
"mostly",94
"relationship",94
"served",94
"spending",94
"study",94
"telling",94
"annual",93
"biggest",93
"defense",93
"details",93
"fan",93
"floor",93
"followed",93
"groups",93
"hall",93
"opening",93
"events",92
"eye",92
"facebook",92
"forget",92
"glass",92
"justice",92
"lunch",92
"manager",92
"minute",92
"policy",92
"restaurant",92
"result",92
"review",92
"scene",92
"sold",92
"test",92
"truth",92
"union",92
"vote",92
"x",92
"youve",92
"built",91
"chocolate",91
"comment",91
"consider",91
"effort",91
"fourth",91
"industry",91
"library",91
"oregon",91
"pieces",91
"present",91
"previous",91
"rules",91
"sister",91
"sit",91
"weve",91
"calls",90
"choose",90
"prices",90
"sitting",90
"walking",90
"ã",89
"cook",89
"de",89
"dream",89
"gas",89
"international",89
"involved",89
"land",89
"message",89
"square",89
"stage",89
"caught",88
"evening",88
"kitchen",88
"portland",88
"reach",88
"ahead",87
"americans",87
"author",87
"meant",87
"mine",87
"named",87
"performance",87
"sun",87
"touch",87
"worst",87
"account",86
"areas",86
"costs",86
"created",86
"employees",86
"latest",86
"lovely",86
"numbers",86
"position",86
"product",86
"sale",86
"tickets",86
"clean",85
"committee",85
"earth",85
"evidence",85
"executive",85
"jones",85
"listen",85
"november",85
"okay",85
"peace",85
"practice",85
"songs",85
"tour",85
"various",85
"attention",84
"cards",84
"cream",84
"eventually",84
"imagine",84
"included",84
"opened",84
"quarter",84
"rose",84
"size",84
"album",83
"announced",83
"attorney",83
"doctor",83
"dry",83
"hopefully",83
"photos",83
"poor",83
"creative",82
"crowd",82
"culture",82
"image",82
"link",82
"mayor",82
"modern",82
"onto",82
"ride",82
"sell",82
"successful",82
"technology",82
"travel",82
"wear",82
"wonder",82
"customers",81
"english",81
"fit",81
"growing",81
"interested",81
"internet",81
"july",81
"king",81
"lack",81
"nature",81
"officer",81
"production",81
"property",81
"winning",81
"afternoon",80
"beat",80
"brand",80
"cake",80
"continued",80
"dance",80
"fell",80
"growth",80
"january",80
"k",80
"los",80
"loss",80
"missing",80
"original",80
"particular",80
"positive",80
"programs",80
"records",80
"residents",80
"salt",80
"senior",80
"throw",80
"tom",80
"toward",80
"version",80
"ya",80
"choice",79
"enjoyed",79
"raised",79
"rights",79
"search",79
"secret",79
"serve",79
"speaking",79
"subject",79
"additional",78
"benefits",78
"collection",78
"computer",78
"congress",78
"creating",78
"driving",78
"effect",78
"ended",78
"florida",78
"isnâ",78
"items",78
"leaders",78
"leading",78
"legal",78
"military",78
"potential",78
"quick",78
"realize",78
"spokesman",78
"starts",78
"text",78
"warm",78
"wedding",78
"youll",78
"bay",77
"currently",77
"designed",77
"election",77
"increase",77
"language",77
"luck",77
"r",77
"rate",77
"readers",77
"spirit",77
"stopped",77
"wearing",77
"wow",77
"access",76
"agreed",76
"article",76
"closed",76
"feels",76
"impact",76
"lucky",76
"natural",76
"push",76
"recipe",76
"winner",76
"ability",75
"base",75
"cash",75
"finish",75
"google",75
"guard",75
"heres",75
"immediately",75
"insurance",75
"join",75
"leaves",75
"missed",75
"robert",75
"thoughts",75
"ur",75
"value",75
"apparently",74
"asking",74
"considered",74
"cross",74
"dad",74
"hill",74
"investigation",74
"lake",74
"mention",74
"museum",74
"required",74
"rich",74
"romney",74
"society",74
"speed",74
"taxes",74
"trade",74
"train",74
"wanna",74
"wide",74
"garden",73
"headed",73
"individual",73
"lived",73
"mix",73
"normal",73
"particularly",73
"quality",73
"radio",73
"related",73
"stock",73
"teachers",73
"totally",73
"willing",73
"award",72
"charged",72
"cute",72
"draft",72
"except",72
"george",72
"grow",72
"hurt",72
"inspired",72
"older",72
"owner",72
"plays",72
"pull",72
"risk",72
"scott",72
"slightly",72
"supposed",72
"talked",72
"winter",72
"agree",71
"cheese",71
"comments",71
"corner",71
"difference",71
"homes",71
"income",71
"leader",71
"limited",71
"marriage",71
"proud",71
"range",71
"stores",71
"worry",71
"worse",71
"administration",70
"artist",70
"avenue",70
"battle",70
"broken",70
"competition",70
"dear",70
"degree",70
"ends",70
"families",70
"healthy",70
"hi",70
"match",70
"mike",70
"option",70
"p",70
"picked",70
"published",70
"reality",70
"response",70
"returned",70
"section",70
"smith",70
"standard",70
"voters",70
"wasnâ",70
"adding",69
"advice",69
"arrived",69
"breakfast",69
"brother",69
"century",69
"contract",69
"everybody",69
"hits",69
"hoping",69
"largest",69
"london",69
"names",69
"none",69
"planned",69
"planning",69
"plenty",69
"putting",69
"reports",69
"session",69
"showed",69
"treatment",69
"tweet",69
"unless",69
"writer",69
"yards",69
"address",68
"block",68
"catch",68
"construction",68
"december",68
"edge",68
"february",68
"gold",68
"gotta",68
"heavy",68
"includes",68
"kick",68
"lines",68
"sat",68
"specific",68
"tea",68
"wild",68
"angeles",67
"anti",67
"association",67
"august",67
"bus",67
"central",67
"charge",67
"division",67
"downtown",67
"drop",67
"easily",67
"hearing",67
"holiday",67
"johnson",67
"model",67
"o",67
"offers",67
"official",67
"orange",67
"posted",67
"posts",67
"reached",67
"remain",67
"sea",67
"sheâ",67
"somewhere",67
"teacher",67
"tree",67
"valley",67
"via",67
"victory",67
"arrested",66
"bag",66
"benefit",66
"brings",66
"cooking",66
"discovered",66
"firm",66
"flowers",66
"followers",66
"grand",66
"handle",66
"joe",66
"liked",66
"mid",66
"mothers",66
"options",66
"pressure",66
"republicans",66
"walked",66
"absolutely",65
"addition",65
"appears",65
"caused",65
"contact",65
"dress",65
"etc",65
"listening",65
"loves",65
"mail",65
"movies",65
"novel",65
"parts",65
"provided",65
"receive",65
"resources",65
"scheduled",65
"surprised",65
"terms",65
"trial",65
"trouble",65
"wood",65
"agreement",64
"audience",64
"debt",64
"efforts",64
"jump",64
"management",64
"marketing",64
"meaning",64
"nd",64
"offered",64
"pan",64
"smile",64
"spot",64
"surgery",64
"ten",64
"thousands",64
"traffic",64
"watched",64
"cars",63
"classic",63
"clearly",63
"commission",63
"direction",63
"fly",63
"french",63
"greater",63
"joy",63
"movement",63
"network",63
"protect",63
"seat",63
"serving",63
"significant",63
"soft",63
"appreciate",62
"artists",62
"avoid",62
"bob",62
"carry",62
"directly",62
"forever",62
"francisco",62
"helping",62
"hotel",62
"investment",62
"losing",62
"organization",62
"parking",62
"placed",62
"possibly",62
"signed",62
"sites",62
"standing",62
"station",62
"arts",61
"baseball",61
"calling",61
"charges",61
"covered",61
"doubt",61
"easier",61
"enter",61
"guilty",61
"housing",61
"illinois",61
"lady",61
"neighborhood",61
"physical",61
"pulled",61
"rates",61
"shoes",61
"southern",61
"turns",61
"al",60
"appear",60
"coast",60
"copy",60
"count",60
"countries",60
"described",60
"doctors",60
"explain",60
"finding",60
"indeed",60
"mile",60
"millions",60
"nfl",60
"nights",60
"opinion",60
"patients",60
"prison",60
"rain",60
"september",60
"signs",60
"source",60
"twice",60
"web",60
"approach",59
"businesses",59
"commercial",59
"content",59
"exciting",59
"fighting",59
"folks",59
"ha",59
"happens",59
"inc",59
"meat",59
"notes",59
"plant",59
"pre",59
"reasons",59
"scored",59
"screen",59
"seasons",59
"sharing",59
"shopping",59
"somehow",59
"studies",59
"thinks",59
"understanding",59
"williams",59
"yard",59
"anymore",58
"attempt",58
"damage",58
"fashion",58
"hang",58
"journey",58
"keeping",58
"labor",58
"lately",58
"laws",58
"managed",58
"neither",58
"obviously",58
"offering",58
"otherwise",58
"powerful",58
"purpose",58
"science",58
"shots",58
"smart",58
"tired",58
"vehicle",58
"vice",58
"weight",58
"authority",57
"bridge",57
"camera",57
"china",57
"civil",57
"democrats",57
"draw",57
"features",57
"fish",57
"freedom",57
"goals",57
"gotten",57
"grew",57
"jim",57
"levels",57
"likes",57
"loving",57
"married",57
"memory",57
"mentioned",57
"necessary",57
"owned",57
"path",57
"peter",57
"pizza",57
"require",57
"roll",57
"rule",57
"seconds",57
"shown",57
"soup",57
"stadium",57
"stress",57
"thomas",57
"towards",57
"wind",57
"activities",56
"appeared",56
"aside",56
"brain",56
"breaking",56
"british",56
"cast",56
"changing",56
"choices",56
"claim",56
"colors",56
"cuts",56
"fill",56
"grant",56
"highly",56
"holding",56
"improve",56
"knowledge",56
"location",56
"martin",56
"multiple",56
"overall",56
"pop",56
"q",56
"raise",56
"respect",56
"spread",56
"ticket",56
"usual",56
"apple",55
"arizona",55
"army",55
"barely",55
"becomes",55
"buying",55
"christie",55
"closer",55
"complex",55
"effective",55
"hello",55
"helps",55
"highest",55
"joined",55
"nobody",55
"primary",55
"rd",55
"rice",55
"selling",55
"shared",55
"shouldnt",55
"slow",55
"target",55
"wake",55
"activity",54
"authorities",54
"background",54
"baltimore",54
"campus",54
"carolina",54
"charles",54
"cities",54
"concerns",54
"drove",54
"earned",54
"ending",54
"expensive",54
"fellow",54
"films",54
"global",54
"holy",54
"honor",54
"j",54
"kansas",54
"limit",54
"menu",54
"missouri",54
"moments",54
"prepared",54
"professional",54
"realized",54
"rise",54
"senate",54
"shall",54
"singing",54
"skin",54
"snow",54
"speech",54
"streets",54
"talent",54
"thus",54
"tip",54
"actual",53
"airport",53
"bringing",53
"chose",53
"congrats",53
"dc",53
"democratic",53
"europe",53
"excellent",53
"fifth",53
"filed",53
"founder",53
"golden",53
"increased",53
"magic",53
"october",53
"stars",53
"traditional",53
"trees",53
"weird",53
"whatâ",53
"wonâ",53
"yellow",53
"youth",53
"actions",52
"beauty",52
